sergId,eiere,eiendomstype,boligtype,boligensAreal,byggeaar,matrikkelnummer,vei_adressekode,vei_adressenavn,vei_adressenummer_bruksenhetsnummere,vei_adressenummer_husnummer,vei_adressenummer_husbokstav,postnummer,poststed,aarForMottattMarkedsverdi,justertMarkedsverdi,reduksjonsfaktor,boligverdi
307,['02871198899 (UGIFT)'],tomt,,,,3101/20/1/0/0,,,[],,,,,,,,
308,['02871198899 (UGIFT)'],selveidBolig,enebolig,150,1860,3101/20/1/0/0,,,[],,,,,2021,3013918,0.8504475158,3543920
309,['02871198899 (UGIFT)'],selveidFritidseiendom,,,,3101/20/1/0/0,,,[],,,,,,,,
310,['314251334 (aksjeselskap)'],skalIkkeFastsettes,,,,0301/123/658/0/0,18587,Økernveien,[],203,B,0584,OSLO,,,,
311,['314251334 (aksjeselskap)'],selveidBolig,enebolig,150,2015,0301/123/658/0/0,,,[],,,,,2021,4299681,0.3690642604,11650223
312,['314251334 (aksjeselskap)'],tomt,,,,0301/123/658/0/0,,,[],,,,,,,,
313,['12827299683 (UGIFT)'],skalIkkeFastsettes,,,,0301/10/10/0/0,18597,Ørakerveien,[],18,C,0284,OSLO,,,,
314,['11925097502 (UGIFT)'],selveidBolig,enebolig,51,1874,0301/10/10/0/0,,,[],,,,,2021,1068060,0.1519785017,7027706
315,['11866099563 (UGIFT)'],selveidBolig,enebolig,160,1939,0301/10/10/0/0,,,[],,,,,2021,3551656,0.2379598942,14925440
316,['11870999552 (UGIFT)'],annenFastEiendomInnenforInntektsgivendeAktivitet,,,,0301/10/10/0/0,,,[],,,,,,,,
317,['08885498788 (UGIFT)'],skalIkkeFastsettes,,,,3101/250/1/0/0,5915,Skauskrokveien,[],177,,1765,HALDEN,,,,
318,['08885498788 (UGIFT)'],jordbrukseiendom,,,,3101/250/1/0/0,,,[],,,,,,,,
319,['08885498788 (UGIFT)'],skogeiendom,,,,3101/250/1/0/0,,,[],,,,,,,,
320,['28909399442 (UGIFT)'],skalIkkeFastsettes,,,,4601/122/100/0/0,41106,Bjørndalstjørnet,[],26,,5171,LODDEFJORD,,,,
321,['28909399442 (UGIFT)'],selveidBolig,enebolig,283,2008,4601/122/100/0/0,,,[],,,,,2021,7719526,0.665763948,11594990
322,['28909399442 (UGIFT)'],selveidBolig,enebolig,92,1930,4601/122/100/0/0,,,[],,,,,2021,2931809,0.638763599,4589818
323,['07845099337 (UGIFT)'],skalIkkeFastsettes,,,,0301/10/271/0/0,16914,Sportsveien,[],12,B,0382,OSLO,,,,
324,['07845099337 (UGIFT)'],selveidBolig,enebolig,156,1927,0301/10/271/0/0,,,[],,,,,,,,
325,['07845099337 (UGIFT)'],selveidBolig,smaahus,76,1927,0301/10/271/0/0,,,[],,,,,,,,
